input,output,name,grade
latex2nemeth: q \div l \div R \div Q,⠇⠩⠟⠨⠌⠇⠨⠌⠠⠗⠨⠌⠠⠟⠇⠱,Division Variables,Middle
latex2nemeth: \ln(65),⠇⠩⠇⠝⠷⠼⠖⠢⠾⠇⠱,Logarithm,High
latex2nemeth: X\subscript-b 491 \subscript-e,⠇⠩⠠⠭⠰⠲⠔⠂⠐⠇⠱,Subscripts,Middle
latex2nemeth: v - i - u - K,⠇⠩⠧⠤⠊⠤⠥⠤⠠⠅⠇⠱,Subtraction Variables,Middle
latex2nemeth: 4 \times 5 \times 1 \times 2,⠇⠩⠼⠲⠈⠡⠼⠢⠈⠡⠼⠂⠈⠡⠼⠆⠇⠱,Multiplication Integers,Elementary
latex2nemeth: 86\sqrt-b 23024 \sqrt-e,⠇⠩⠼⠦⠖⠜⠆⠒⠴⠆⠲⠻⠇⠱,Surd with Coefficient,Middle
"latex2nemeth: \int \ln x \, dy",⠇⠩⠮⠇⠝⠭⠀⠙⠽⠇⠱,Indefinite Integral,High
latex2nemeth: H \times b \times p \times R,⠇⠩⠠⠓⠈⠡⠃⠈⠡⠏⠈⠡⠠⠗⠇⠱,Multiplication Variables,Middle
latex2nemeth: \sqrt-b 45 \sqrt-e,⠇⠩⠜⠲⠢⠻⠇⠱,Root,Elementary
latex2nemeth: A \supseteq Y,⠇⠩⠠⠁ ⠸⠨⠂⠱ ⠠⠽⠇⠱,Set Notation,Middle
latex2nemeth: 96,⠇⠩⠼⠔⠖⠇⠱,Double Digits,Elementary
latex2nemeth: 10 \times 8 \times 1 \times 2,⠇⠩⠼⠂⠴⠈⠡⠼⠦⠈⠡⠼⠂⠈⠡⠼⠆⠇⠱,Multiplication Integers,Elementary
latex2nemeth: (F + 1)\superscript-b 2 \superscript-e - 1\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠠⠋⠬⠼⠂⠾⠘⠆⠐⠤⠼⠂⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: 56 \leq -17,⠇⠩⠼⠢⠖ ⠐⠅⠱ ⠤⠼⠂⠶⠇⠱,Inequality,Middle
latex2nemeth: 75 + 9 + 77 + 98,⠇⠩⠼⠶⠢⠬⠼⠔⠬⠼⠶⠶⠬⠼⠔⠦⠇⠱,Addition Integers,Elementary
latex2nemeth: T,⠇⠩⠠⠞⠇⠱,Variables,Middle
latex2nemeth: 67 - 41 - 72 - 55,⠇⠩⠼⠖⠶⠤⠼⠲⠂⠤⠼⠶⠆⠤⠼⠢⠢⠇⠱,Subtraction Integers,Elementary
latex2nemeth: 98 \times 14,⠇⠩⠼⠔⠦⠈⠡⠼⠂⠲⠇⠱,Multiplication,Elementary
latex2nemeth: 548.39,⠇⠩⠼⠢⠲⠦⠨⠒⠔⠇⠱,Decimal Double,Elementary
latex2nemeth: 61.32 + 60.93,⠇⠩⠼⠖⠂⠨⠒⠆⠬⠼⠖⠴⠨⠔⠒⠇⠱,Decimal Addition,Elementary
latex2nemeth: O\superscript-b 2 \superscript-e \geq 15,⠇⠩⠠⠕⠘⠆⠐ ⠨⠂⠱ ⠼⠂⠢⠇⠱,Power Inequality,High
latex2nemeth: \tan(240\superscript-b \circ \superscript-e),⠇⠩⠞⠁⠝⠷⠼⠆⠲⠴⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: \frac-b 5 \frac-separator 45 \frac-e,⠇⠩⠹⠢⠌⠲⠢⠼⠇⠱,Fraction,Elementary
latex2nemeth: 924 \div 11,⠇⠩⠼⠔⠆⠲⠨⠌⠼⠂⠂⠇⠱,Division,Elementary
latex2nemeth: \varsigma,⠇⠩⠨⠈⠎⠇⠱,Greek Letters,Middle
latex2nemeth: 54.1 + 80.43 + 85.27 + 2.6,⠇⠩⠼⠢⠲⠨⠂⠬⠼⠦⠴⠨⠲⠒⠬⠼⠦⠢⠨⠆⠶⠬⠼⠆⠨⠖⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: -58 + -79,⠇⠩⠤⠼⠢⠦⠬⠤⠼⠶⠔⠇⠱,Addition,Elementary
latex2nemeth: \sqrt-b 808 \sqrt-e,⠇⠩⠜⠦⠴⠦⠻⠇⠱,Square Root,Elementary
latex2nemeth: -73R\superscript-b 2 \superscript-e + 73R + -58,⠇⠩⠤⠼⠶⠒⠠⠗⠘⠆⠐⠬⠼⠶⠒⠠⠗⠬⠤⠼⠢⠦⠇⠱,Quadratic Equations,High
latex2nemeth: -1\superscript-b 603 \superscript-e,⠇⠩⠤⠼⠂⠘⠖⠴⠒⠐⠇⠱,Power,Middle
"latex2nemeth: \int\subscript-b \infty \superscript-b \infty \superscript-e 1/x \, dz",⠇⠩⠮⠰⠿⠘⠿⠐⠼⠂⠸⠌⠭⠀⠙⠵⠇⠱,Improper Integral,High
latex2nemeth: 80\sqrt-b 11018 \sqrt-e,⠇⠩⠼⠦⠴⠜⠂⠂⠴⠂⠦⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: Z - f - E - A,⠇⠩⠠⠵⠤⠋⠤⠠⠑⠤⠠⠁⠇⠱,Subtraction Variables,Middle
latex2nemeth: 3.01 \div 2.48 \div 7.97 \div 6.57,⠇⠩⠼⠒⠨⠴⠂⠨⠌⠼⠆⠨⠲⠦⠨⠌⠼⠶⠨⠔⠶⠨⠌⠼⠖⠨⠢⠶⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: \frac-b 5 \frac-separator 4 \frac-e \div \frac-b 4 \frac-separator 9 \frac-e \div \frac-b 3 \frac-separator 5 \frac-e \div \frac-b 5 \frac-separator 6 \frac-e,⠇⠩⠹⠢⠌⠲⠼⠨⠌⠹⠲⠌⠔⠼⠨⠌⠹⠒⠌⠢⠼⠨⠌⠹⠢⠌⠖⠼⠇⠱,Division Fractions,Middle
latex2nemeth: \gamma,⠇⠩⠨⠛⠇⠱,Greek Letters,Middle
latex2nemeth: \sqrt-b 9 \sqrt-e,⠇⠩⠜⠔⠻⠇⠱,Root,Elementary
latex2nemeth: 82 + 25 + 56 + 41,⠇⠩⠼⠦⠆⠬⠼⠆⠢⠬⠼⠢⠖⠬⠼⠲⠂⠇⠱,Addition Integers,Elementary
latex2nemeth: \frac-b 5 \frac-separator 4 \frac-e \times \frac-b 3 \frac-separator 7 \frac-e \times \frac-b 2 \frac-separator 1 \frac-e \times \frac-b 3 \frac-separator 4 \frac-e,⠇⠩⠹⠢⠌⠲⠼⠈⠡⠹⠒⠌⠶⠼⠈⠡⠹⠆⠌⠂⠼⠈⠡⠹⠒⠌⠲⠼⠇⠱,Multiplication Fractions,Middle
"latex2nemeth: \int \ln x \, dx",⠇⠩⠮⠇⠝⠭⠀⠙⠭⠇⠱,Indefinite Integral,High
latex2nemeth: 56 \geq -98,⠇⠩⠼⠢⠖ ⠨⠂⠱ ⠤⠼⠔⠦⠇⠱,Inequality,Middle
latex2nemeth: 86.29 - 56.39 - 32.17 - 7.87,⠇⠩⠼⠦⠖⠨⠆⠔⠤⠼⠢⠖⠨⠒⠔⠤⠼⠒⠆⠨⠂⠶⠤⠼⠶⠨⠦⠶⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: 8.57 \div 8.64 \div 3.9 \div 6.13,⠇⠩⠼⠦⠨⠢⠶⠨⠌⠼⠦⠨⠖⠲⠨⠌⠼⠒⠨⠔⠨⠌⠼⠖⠨⠂⠒⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: b \div j \div Y \div b,⠇⠩⠃⠨⠌⠚⠨⠌⠠⠽⠨⠌⠃⠇⠱,Division Variables,Middle
latex2nemeth: B \cap X,⠇⠩⠠⠃⠨⠩⠠⠭⠇⠱,Set Operations,Middle
latex2nemeth: \log\subscript-b a \subscript-e(22),⠇⠩⠇⠕⠛ ⠰⠁⠐⠷⠼⠆⠆⠾⠇⠱,Logarithm,High
latex2nemeth: 8 \div 8 \div 6 \div 8,⠇⠩⠼⠦⠨⠌⠼⠦⠨⠌⠼⠖⠨⠌⠼⠦⠇⠱,Division Integers,Elementary
latex2nemeth: A \cup X,⠇⠩⠠⠁⠨⠬⠠⠭⠇⠱,Set Notation,Middle
latex2nemeth: 9H + 39 > -94,⠇⠩⠼⠔⠠⠓⠬⠼⠒⠔ ⠨⠂ ⠤⠼⠔⠲⠇⠱,Variable Inequality,Middle
"latex2nemeth: \int 1/x \, dy",⠇⠩⠮⠼⠂⠸⠌⠭⠀⠙⠽⠇⠱,Indefinite Integral,High
latex2nemeth: \frac-b 4 \frac-separator 5 \frac-e \times \frac-b 1 \frac-separator 9 \frac-e \times \frac-b 10 \frac-separator 1 \frac-e \times \frac-b 7 \frac-separator 8 \frac-e,⠇⠩⠹⠲⠌⠢⠼⠈⠡⠹⠂⠌⠔⠼⠈⠡⠹⠂⠴⠌⠂⠼⠈⠡⠹⠶⠌⠦⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 10 \times 1 \times 5 \times 10,⠇⠩⠼⠂⠴⠈⠡⠼⠂⠈⠡⠼⠢⠈⠡⠼⠂⠴⠇⠱,Multiplication Integers,Elementary
latex2nemeth: \frac-b 3 \frac-separator 5 \frac-e \div \frac-b 3 \frac-separator 1 \frac-e \div \frac-b 6 \frac-separator 5 \frac-e \div \frac-b 5 \frac-separator 9 \frac-e,⠇⠩⠹⠒⠌⠢⠼⠨⠌⠹⠒⠌⠂⠼⠨⠌⠹⠖⠌⠢⠼⠨⠌⠹⠢⠌⠔⠼⠇⠱,Division Fractions,Middle
latex2nemeth: 9z + 7x = 78,⠇⠩⠼⠔⠵⠬⠼⠶⠭⠨⠨⠼⠶⠦⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: \sqrt-b 651 \sqrt-e,⠇⠩⠜⠖⠢⠂⠻⠇⠱,Square Root,Elementary
latex2nemeth: 77.66 - 4.73 - 91.02 - 69.51,⠇⠩⠼⠶⠶⠨⠖⠖⠤⠼⠲⠨⠶⠒⠤⠼⠔⠂⠨⠴⠆⠤⠼⠖⠔⠨⠢⠂⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: c \div u \div w \div C,⠇⠩⠉⠨⠌⠥⠨⠌⠺⠨⠌⠠⠉⠇⠱,Division Variables,Middle
latex2nemeth: \frac-b q + 8 \frac-separator 9 \frac-e \leq 13,⠇⠩⠹⠟⠬⠦⠌⠔⠼ ⠐⠅⠱ ⠂⠒⠇⠱,Fraction Inequality,High
latex2nemeth: |l - 3| \geq 10,⠇⠩⠳⠇⠤⠒⠳⠼⠂⠴⠇⠱,Absolute Value Inequality,High
latex2nemeth: t\subscript-b 10 \subscript-e,⠇⠩⠞⠰⠂⠴⠐⠇⠱,Subscripts,Middle
"latex2nemeth: \int\subscript-b \infty \superscript-b 1 \superscript-e e\superscript-b x \superscript-e \, dx",⠇⠩⠮⠰⠿⠘⠂⠐⠑⠘⠭⠐⠙⠭⠇⠱,Improper Integral,High
latex2nemeth: 2\superscript-b 57 \superscript-e,⠇⠩⠼⠆⠘⠢⠶⠐⠇⠱,Exponential Equation,High
latex2nemeth: 47 - 88 - 79 - 84,⠇⠩⠼⠲⠶⠤⠼⠦⠦⠤⠼⠶⠔⠤⠼⠦⠲⠇⠱,Subtraction Integers,Elementary
latex2nemeth: 5.43 \times 0.16,⠇⠩⠼⠢⠨⠲⠒⠈⠡⠼⠴⠨⠂⠖⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: 985.808,⠇⠩⠼⠔⠦⠢⠨⠦⠴⠦⠇⠱,Decimal Triple,Elementary
latex2nemeth: \frac-b 2 \frac-separator 5 \frac-e - \frac-b 1 \frac-separator 1 \frac-e - \frac-b 9 \frac-separator 7 \frac-e - \frac-b 4 \frac-separator 5 \frac-e,⠇⠩⠹⠆⠌⠢⠼⠤⠹⠂⠌⠂⠼⠤⠹⠔⠌⠶⠼⠤⠹⠲⠌⠢⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: -38 - 64,⠇⠩⠤⠼⠒⠦⠤⠼⠖⠲⠇⠱,Subtraction,Elementary
latex2nemeth: |b - 8| > 1,⠇⠩⠳⠃⠤⠦⠳⠼⠂⠇⠱,Absolute Value Inequality,High
latex2nemeth: \frac-b 3 \frac-separator 1 \frac-e - \frac-b 5 \frac-separator 2 \frac-e - \frac-b 9 \frac-separator 5 \frac-e - \frac-b 6 \frac-separator 5 \frac-e,⠇⠩⠹⠒⠌⠂⠼⠤⠹⠢⠌⠆⠼⠤⠹⠔⠌⠢⠼⠤⠹⠖⠌⠢⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: L,⠇⠩⠠⠇⠇⠱,Variables,Middle
"latex2nemeth: \int\subscript-b 3 \superscript-b 7 \superscript-e \ln x \, dz",⠇⠩⠮⠰⠒⠘⠶⠐⠇⠝⠭⠀⠙⠵⠇⠱,Definite Integral,High
latex2nemeth: 743.50,⠇⠩⠼⠶⠲⠒⠨⠢⠴⠇⠱,Decimal Double,Elementary
latex2nemeth: 2\superscript-b 2 \superscript-e,⠇⠩⠼⠆⠘⠆⠐⠇⠱,Exponential,High
latex2nemeth: I \div q \div G \div j,⠇⠩⠠⠊⠨⠌⠟⠨⠌⠠⠛⠨⠌⠚⠇⠱,Division Variables,Middle
"latex2nemeth: \int\subscript-b 5 \superscript-b 6 \superscript-e \ln x \, dz",⠇⠩⠮⠰⠢⠘⠖⠐⠇⠝⠭⠀⠙⠵⠇⠱,Definite Integral,High
latex2nemeth: 37.09 + 29.33,⠇⠩⠼⠒⠶⠨⠴⠔⠬⠼⠆⠔⠨⠒⠒⠇⠱,Decimal Addition,Elementary
latex2nemeth: 7.04 \times 4.99 \times 6.89 \times 7.87,⠇⠩⠼⠶⠨⠴⠲⠈⠡⠼⠲⠨⠔⠔⠈⠡⠼⠖⠨⠦⠔⠈⠡⠼⠶⠨⠦⠶⠇⠱,Multi-Term Multiplication Decimals,Elementary
latex2nemeth: A \supseteq Z,⠇⠩⠠⠁ ⠸⠨⠂⠱ ⠠⠵⠇⠱,Set Notation,Middle
latex2nemeth: \frac-b 3 \frac-separator 5 \frac-e + \frac-b 4 \frac-separator 5 \frac-e + \frac-b 3 \frac-separator 7 \frac-e + \frac-b 3 \frac-separator 10 \frac-e,⠇⠩⠹⠒⠌⠢⠼⠬⠹⠲⠌⠢⠼⠬⠹⠒⠌⠶⠼⠬⠹⠒⠌⠂⠴⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: A \supseteq Y,⠇⠩⠠⠁ ⠸⠨⠂⠱ ⠠⠽⠇⠱,Set Notation,Middle
"latex2nemeth: \int\subscript-b 3 \superscript-b 9 \superscript-e x\superscript-b 2 \superscript-e \, dy",⠇⠩⠮⠰⠒⠘⠔⠐⠭⠘⠆⠐⠙⠽⠇⠱,Definite Integral,High
latex2nemeth: \sqrtib {52} \sqrtie \sqrt-b 38 \sqrt-e,⠇⠩⠣⠢⠆⠼⠒⠦⠻⠇⠱,Cube Root,Middle
latex2nemeth: 60.23 - 62.22 - 68.77 - 22.18,⠇⠩⠼⠖⠴⠨⠆⠒⠤⠼⠖⠆⠨⠆⠆⠤⠼⠖⠦⠨⠶⠶⠤⠼⠆⠆⠨⠂⠦⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: .44,⠇⠩⠼⠨⠲⠲⠇⠱,Decimal starting with point,Elementary
latex2nemeth: \Psi,⠇⠩⠨⠠⠽⠇⠱,Greek Letters,Middle
latex2nemeth: 189.516,⠇⠩⠼⠂⠦⠔⠨⠢⠂⠖⠇⠱,Decimal Triple,Elementary
latex2nemeth: 3 \leq B < 9,⠇⠩⠼⠒ ⠐⠅⠱ ⠠⠃ ⠐⠅ ⠼⠔⠇⠱,Compound Inequality,High
"latex2nemeth: \int 1/x \, dy",⠇⠩⠮⠼⠂⠸⠌⠭⠀⠙⠽⠇⠱,Indefinite Integral,High
latex2nemeth: e\superscript-b 1 \superscript-e,⠇⠩⠑⠘⠂⠐⠇⠱,Exponential,High
latex2nemeth: 0\superscript-b 100 \superscript-e,⠇⠩⠼⠴⠘⠂⠴⠴⠐⠇⠱,Exponential Equation,High
latex2nemeth: \frac-b 1 \frac-separator 2 \frac-e + \frac-b 1 \frac-separator 10 \frac-e + \frac-b 5 \frac-separator 2 \frac-e + \frac-b 5 \frac-separator 9 \frac-e,⠇⠩⠹⠂⠌⠆⠼⠬⠹⠂⠌⠂⠴⠼⠬⠹⠢⠌⠆⠼⠬⠹⠢⠌⠔⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: -39\superscript-b 872 \superscript-e,⠇⠩⠤⠼⠒⠔⠘⠦⠶⠆⠐⠇⠱,Power,Middle
latex2nemeth: 98 + 48,⠇⠩⠼⠔⠦⠬⠼⠲⠦⠇⠱,Addition,Elementary
latex2nemeth: 9.08 \times 9.7 \times 9.07 \times 6.1,⠇⠩⠼⠔⠨⠴⠦⠈⠡⠼⠔⠨⠶⠈⠡⠼⠔⠨⠴⠶⠈⠡⠼⠖⠨⠂⠇⠱,Multi-Term Multiplication Decimals,Elementary
latex2nemeth: 7x + 8x = 56,⠇⠩⠼⠶⠭⠬⠼⠦⠭⠨⠨⠼⠢⠖⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: \frac-b -44 \frac-separator 67 \frac-e,⠇⠩⠹⠤⠲⠲⠌⠖⠶⠼⠇⠱,Fraction,Elementary
latex2nemeth: M + 81 = 84,⠇⠩⠠⠍⠬⠼⠦⠂⠨⠨⠼⠦⠲⠇⠱,Variable Expression,Middle
latex2nemeth: -41 < 27,⠇⠩⠤⠼⠲⠂ ⠐⠅ ⠼⠆⠶⠇⠱,Inequality,Middle
latex2nemeth: 41.84 - 16.4 - 81.14 - 94.96,⠇⠩⠼⠲⠂⠨⠦⠲⠤⠼⠂⠖⠨⠲⠤⠼⠦⠂⠨⠂⠲⠤⠼⠔⠲⠨⠔⠖⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: 7.91 \times 0.53,⠇⠩⠼⠶⠨⠔⠂⠈⠡⠼⠴⠨⠢⠒⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: 878.2,⠇⠩⠼⠦⠶⠦⠨⠆⠇⠱,Decimal Single,Elementary
latex2nemeth: C\subscript-b 460 \subscript-e,⠇⠩⠠⠉⠰⠲⠖⠴⠐⠇⠱,Subscripts,Middle
latex2nemeth: Z\superscript-b 3 \superscript-e \leq 50,⠇⠩⠠⠵⠘⠒⠐ ⠐⠅⠱ ⠼⠢⠴⠇⠱,Power Inequality,High
latex2nemeth: 2.76 \div 9.62 \div 6.17 \div 2.73,⠇⠩⠼⠆⠨⠶⠖⠨⠌⠼⠔⠨⠖⠆⠨⠌⠼⠖⠨⠂⠶⠨⠌⠼⠆⠨⠶⠒⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: \frac-b 3 \frac-separator 5 \frac-e \div \frac-b 1 \frac-separator 1 \frac-e \div \frac-b 9 \frac-separator 8 \frac-e \div \frac-b 5 \frac-separator 8 \frac-e,⠇⠩⠹⠒⠌⠢⠼⠨⠌⠹⠂⠌⠂⠼⠨⠌⠹⠔⠌⠦⠼⠨⠌⠹⠢⠌⠦⠼⠇⠱,Division Fractions,Middle
latex2nemeth: \frac-b l + 1 \frac-separator 1 \frac-e,⠇⠩⠹⠇⠬⠂⠌⠂⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: \frac-b 3 \frac-separator 5 \frac-e \times \frac-b 3 \frac-separator 8 \frac-e \times \frac-b 2 \frac-separator 1 \frac-e \times \frac-b 6 \frac-separator 7 \frac-e,⠇⠩⠹⠒⠌⠢⠼⠈⠡⠹⠒⠌⠦⠼⠈⠡⠹⠆⠌⠂⠼⠈⠡⠹⠖⠌⠶⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 1 + -22,⠇⠩⠼⠂⠬⠤⠼⠆⠆⠇⠱,Addition,Elementary
latex2nemeth: 68.56 + 41.87,⠇⠩⠼⠖⠦⠨⠢⠖⠬⠼⠲⠂⠨⠦⠶⠇⠱,Decimal Addition,Elementary
latex2nemeth: 3,⠇⠩⠼⠒⠇⠱,Single Digits,Elementary
latex2nemeth: \sqrt-b 650 \sqrt-e,⠇⠩⠜⠖⠢⠴⠻⠇⠱,Square Root,Elementary
latex2nemeth: \frac-b 9 \frac-separator 1 \frac-e \div \frac-b 1 \frac-separator 1 \frac-e \div \frac-b 4 \frac-separator 5 \frac-e \div \frac-b 8 \frac-separator 7 \frac-e,⠇⠩⠹⠔⠌⠂⠼⠨⠌⠹⠂⠌⠂⠼⠨⠌⠹⠲⠌⠢⠼⠨⠌⠹⠦⠌⠶⠼⠇⠱,Division Fractions,Middle
latex2nemeth: \frac-b 3 \frac-separator 2 \frac-e - \frac-b 4 \frac-separator 3 \frac-e - \frac-b 4 \frac-separator 1 \frac-e - \frac-b 2 \frac-separator 7 \frac-e,⠇⠩⠹⠒⠌⠆⠼⠤⠹⠲⠌⠒⠼⠤⠹⠲⠌⠂⠼⠤⠹⠆⠌⠶⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: 6\sqrt-b 14999 \sqrt-e,⠇⠩⠼⠖⠜⠂⠲⠔⠔⠔⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: 95!,⠇⠩⠼⠔⠢⠯⠇⠱,Factorial,Middle
latex2nemeth: .93,⠇⠩⠼⠨⠔⠒⠇⠱,Decimal starting with point,Elementary
"latex2nemeth: \int\subscript-b 4 \superscript-b 6 \superscript-e x\superscript-b 2 \superscript-e \, dz",⠇⠩⠮⠰⠲⠘⠖⠐⠭⠘⠆⠐⠙⠵⠇⠱,Definite Integral,High
latex2nemeth: \frac-b -53 \frac-separator 74 \frac-e,⠇⠩⠹⠤⠢⠒⠌⠶⠲⠼⠇⠱,Fraction,Elementary
latex2nemeth: j \times q \times c \times e,⠇⠩⠚⠈⠡⠟⠈⠡⠉⠈⠡⠑⠇⠱,Multiplication Variables,Middle
latex2nemeth: 4S\superscript-b 3 \superscript-e + 51S\superscript-b 2 \superscript-e + 63S + -32,⠇⠩⠼⠲⠠⠎⠘⠒⠐⠬⠼⠢⠂⠠⠎⠘⠆⠐⠬⠼⠖⠒⠠⠎⠬⠤⠼⠒⠆⠇⠱,Cubic Equation,High
"latex2nemeth: \int\subscript-b 4 \superscript-b 10 \superscript-e e\superscript-b x \superscript-e \, dy",⠇⠩⠮⠰⠲⠘⠂⠴⠐⠑⠘⠭⠐⠙⠽⠇⠱,Definite Integral,High
latex2nemeth: 22.65 - 99.87 - 26.77 - 14.87,⠇⠩⠼⠆⠆⠨⠖⠢⠤⠼⠔⠔⠨⠦⠶⠤⠼⠆⠖⠨⠶⠶⠤⠼⠂⠲⠨⠦⠶⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: \sqrtib 3 \sqrtie \sqrt-b 94 \sqrt-e,⠇⠩⠣⠒⠼⠔⠲⠻⠇⠱,Nth Root,Middle
"latex2nemeth: \int\subscript-b 2 \superscript-b 8 \superscript-e e\superscript-b x \superscript-e \, dx",⠇⠩⠮⠰⠆⠘⠦⠐⠑⠘⠭⠐⠙⠭⠇⠱,Definite Integral,High
latex2nemeth: 91\sqrt-b 10940 \sqrt-e,⠇⠩⠼⠔⠂⠜⠂⠴⠔⠲⠴⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: 9 \div 1 \div 5 \div 7,⠇⠩⠼⠔⠨⠌⠼⠂⠨⠌⠼⠢⠨⠌⠼⠶⠇⠱,Division Integers,Elementary
latex2nemeth: 108.7,⠇⠩⠼⠂⠴⠦⠨⠶⠇⠱,Decimal Single,Elementary
latex2nemeth: 9.87 \div 2.32 \div 6.87 \div 6.3,⠇⠩⠼⠔⠨⠦⠶⠨⠌⠼⠆⠨⠒⠆⠨⠌⠼⠖⠨⠦⠶⠨⠌⠼⠖⠨⠒⠇⠱,Multi-Term Division Decimals,Elementary
"latex2nemeth: \int\subscript-b 1 \superscript-b 10 \superscript-e 1/x \, dx",⠇⠩⠮⠰⠂⠘⠂⠴⠐⠼⠂⠸⠌⠭⠀⠙⠭⠇⠱,Definite Integral,High
